bounded + radio
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",85.00%,15.00%,15.0,24.5,251.5
"(10,6,2)",50.00%,50.00%,50.0,12.5,253.5
"(10,6,3)",55.00%,45.00%,45.0,18.5,255.0
"(10,6,4)",45.00%,55.00%,55.0,5.5,254.5
