bounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",55.00%,45.00%,45.0,15.5,249.5
"(10,6,2)",70.00%,30.00%,30.0,9.5,257.5
"(10,6,3)",60.00%,40.00%,36.0,7.0,260.0
"(10,6,4)",60.00%,40.00%,36.5,12.5,266.5
