bounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",45.00%,55.00%,54.0,10.5,239.0
"(10,6,2)",85.00%,15.00%,13.5,21.5,247.5
"(10,6,3)",40.00%,60.00%,47.5,11.5,244.0
"(10,6,4)",60.00%,40.00%,33.0,22.0,257.0
