unbounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",45.00%,55.00%,55.0,13.0,261.5
"(10,6,2)",65.00%,35.00%,35.0,21.5,257.0
"(10,6,3)",40.00%,60.00%,60.0,4.5,259.5
"(10,6,4)",60.00%,40.00%,40.0,10.5,260.5
