unbounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",65.00%,35.00%,31.5,21.5,257.0
"(10,6,2)",60.00%,40.00%,40.0,9.0,261.5
"(10,6,3)",70.00%,30.00%,25.5,25.5,257.5
"(10,6,4)",55.00%,45.00%,43.5,10.5,261.5
