bounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,1,8)",10.00%,90.00%,83.3,1.8,21.7
"(10,2,8)",12.00%,88.00%,83.6,5.1,42.9
"(10,3,8)",25.00%,75.00%,69.6,5.8,64.1
"(10,4,8)",33.00%,67.00%,59.2,7.3,88.1
"(10,5,8)",47.00%,53.00%,44.1,11.8,108.5
"(10,6,8)",52.00%,48.00%,44.5,14.0,129.1
"(10,7,8)",56.00%,44.00%,38.4,18.4,147.6
"(10,8,8)",63.00%,37.00%,29.4,11.8,168.5
