unbounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"['(10,1,49)']",17.00%,83.00%,43.5,5.1,42.8
"['(10,2,42)']",25.00%,75.00%,38.0,6.4,86.6
"['(10,3,35)']",35.00%,65.00%,39.7,7.7,127.7
"['(10,4,28)']",47.00%,53.00%,34.6,8.8,171.3
"['(10,5,21)']",55.00%,45.00%,26.5,10.7,210.5
"['(10,6,14)']",60.00%,40.00%,32.0,13.7,258.1
"['(10,7,7)']",61.00%,39.00%,32.4,17.3,304.1
"['(10,8,0)']",70.00%,30.00%,30.0,16.3,345.5
