unbounded + radio
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",30.00%,70.00%,70.0,12.0,199.0
"(10,6,2)",50.00%,50.00%,50.0,12.0,199.0
"(10,6,3)",50.00%,50.00%,50.0,19.0,199.0
