bounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",60.00%,40.00%,40.0,22.0,249.0
"(10,6,2)",65.00%,35.00%,35.0,29.5,250.0
"(10,6,3)",55.00%,45.00%,40.5,22.5,261.0
"(10,6,4)",55.00%,45.00%,39.0,17.0,255.0
