unbounded + sound
Formation,Caught poachers,Fled poachers,Resource poached,Resource recovered,Distance travelled
"(10,6,1)",50.00%,50.00%,46.5,9.0,254.5
"(10,6,2)",45.00%,55.00%,51.5,12.0,257.0
"(10,6,3)",60.00%,40.00%,33.5,15.0,261.5
"(10,6,4)",55.00%,45.00%,43.0,14.5,264.5
